Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
6/3/2022,23.0,25.35,31.15,88.5,24.02
6/4/2022,31.0,25.48,29.12,92.81,35.93
6/5/2022,66.0,25.2,32.69,86.06,7.91
6/6/2022,49.0,24.93,33.18,85.38,2.07
6/7/2022,49.0,25.37,32.9,84.88,2.37
6/8/2022,59.0,25.83,31.74,87.94,17.87
6/9/2022,48.0,25.8,30.87,89.38,15.57
6/10/2022,28.0,25.33,33.1,83.81,18.88
6/11/2022,30.0,25.24,31.98,85.44,6.51
6/12/2022,34.0,25.34,31.87,86.88,0.66
6/13/2022,22.0,25.47,32.37,86.31,7.09
6/14/2022,43.0,25.84,32.09,89.06,12.49
6/15/2022,24.0,25.8,29.28,93.44,20.29
6/16/2022,14.0,24.94,27.94,94.69,32.65
6/17/2022,40.0,24.78,28.12,95.25,80.76
6/18/2022,31.0,24.81,27.9,95.25,65.27
6/19/2022,48.0,24.59,27.48,94.69,56.64
6/20/2022,64.0,24.2,28.28,92.5,49.9
6/21/2022,51.0,24.42,30.13,91.81,41.08
6/22/2022,50.0,24.19,31.7,84.94,2.81
6/23/2022,44.0,24.38,30.54,87.5,4.97
6/24/2022,43.0,24.45,30.37,88.94,4.64
6/25/2022,21.0,24.57,31.54,86.94,10.68
6/26/2022,62.0,24.56,30.67,89.0,2.91
6/27/2022,15.0,24.87,32.54,87.19,3.79
6/28/2022,41.0,25.16,30.89,89.38,5.81
6/29/2022,39.0,24.99,31.69,87.62,21.96
6/30/2022,32.0,25.38,28.85,93.25,14.27
7/1/2022,21.0,25.46,29.37,94.0,4.96
7/2/2022,25.0,25.12,31.36,89.19,6.08
7/3/2022,16.0,25.03,32.0,88.31,7.8
7/4/2022,20.0,24.73,30.5,90.69,21.12
7/5/2022,18.0,24.83,33.33,85.0,3.06
7/6/2022,14.0,25.4,31.92,86.38,9.16
7/7/2022,4.0,25.21,33.12,85.12,7.18
7/8/2022,3.0,25.01,32.78,86.81,8.35
7/9/2022,2.0,24.83,34.21,81.56,2.42
7/10/2022,4.0,24.65,33.07,84.56,1.63
7/11/2022,2.0,24.64,31.78,86.19,6.45
7/12/2022,10.0,24.39,34.15,82.88,5.14
7/13/2022,8.0,25.66,33.68,82.94,0.48
7/14/2022,4.0,25.93,32.85,84.94,2.41
7/15/2022,7.0,25.52,34.52,83.5,3.95
7/16/2022,27.0,25.51,34.48,83.06,5.71
7/17/2022,20.0,25.27,32.85,85.06,3.33
7/18/2022,33.0,25.4,32.58,87.25,10.1
7/19/2022,14.0,25.65,31.84,89.88,11.58
7/20/2022,24.0,25.58,31.39,89.69,41.61
7/21/2022,11.0,25.21,31.73,86.12,9.77
7/22/2022,11.0,25.33,33.68,84.88,3.86
7/23/2022,12.0,25.28,29.41,90.06,17.83
7/24/2022,13.0,24.55,29.11,92.5,10.45
7/25/2022,15.0,24.72,31.17,82.0,30.25
7/26/2022,16.0,23.61,33.38,82.0,15.28
7/27/2022,7.0,23.78,34.89,81.38,5.47
7/28/2022,6.0,25.41,32.93,87.06,0.99
7/29/2022,5.0,25.19,34.1,81.75,4.94
7/30/2022,11.0,25.14,35.17,80.12,3.47
7/31/2022,16.0,25.8,32.26,85.75,2.31
8/1/2022,50.0,25.45,33.37,85.81,17.15
8/2/2022,28.0,25.05,35.57,80.25,28.48
8/3/2022,23.0,25.86,32.46,89.0,31.78
8/4/2022,14.0,25.58,35.55,80.75,17.51
8/5/2022,14.0,25.51,31.74,87.75,6.57
8/6/2022,15.25,25.37,33.62,85.75,16.32
8/7/2022,16.5,25.43,37.04,79.81,5.03
8/8/2022,17.75,25.69,31.08,89.69,8.99
8/9/2022,19.0,24.9,31.21,89.12,13.28
8/10/2022,14.0,24.53,29.9,91.75,4.59
8/11/2022,10.0,24.28,31.62,87.88,3.8
8/12/2022,8.0,25.18,32.16,86.94,2.64
8/13/2022,6.0,24.66,29.29,94.06,10.98
8/14/2022,6.0,23.98,28.58,90.75,10.33
8/15/2022,11.0,24.12,32.76,86.5,8.26
8/16/2022,5.0,25.19,33.94,83.81,2.71
8/17/2022,4.0,25.8,35.48,82.62,3.84
8/18/2022,7.0,25.7,37.12,82.0,28.78
8/19/2022,13.0,24.64,32.93,85.5,29.27
8/20/2022,12.0,24.58,32.31,85.44,5.23
8/21/2022,2.0,24.6,32.78,85.81,3.66
8/22/2022,3.0,24.98,35.27,82.0,5.52
8/23/2022,7.0,25.21,31.51,88.06,52.25
8/24/2022,6.0,24.08,32.14,85.38,1.71
8/25/2022,9.0,24.9,34.65,79.88,3.88
8/26/2022,18.0,24.63,32.99,85.31,1.36
8/27/2022,14.0,24.33,30.7,89.19,1.68
8/28/2022,9.0,24.4,30.94,87.62,7.47
8/29/2022,6.0,23.94,34.24,80.62,3.53
8/30/2022,12.0,25.23,34.15,81.5,1.96
8/31/2022,8.0,25.41,33.47,84.81,1.25
9/1/2022,2.0,25.8,32.83,85.44,7.03
9/2/2022,6.0,24.45,28.56,92.0,38.38
9/3/2022,10.0,24.33,33.06,84.0,12.84
9/4/2022,15.0,26.04,32.7,88.31,20.33
9/5/2022,12.0,25.82,32.55,88.75,16.85
9/6/2022,15.0,25.93,33.33,88.56,18.37
9/7/2022,10.0,25.77,33.73,85.81,5.4
9/8/2022,14.0,25.43,37.94,79.69,21.82
9/9/2022,5.0,25.59,29.9,91.5,14.61
9/10/2022,17.0,25.4,29.39,91.12,20.37
9/11/2022,16.0,24.3,29.53,90.38,25.35
9/12/2022,7.0,23.66,28.69,93.19,34.01
9/13/2022,1.0,24.62,28.2,97.12,30.67
9/14/2022,3.0,24.14,30.82,89.06,21.03
9/15/2022,0.0,24.55,31.32,88.19,13.42
9/16/2022,3.0,25.26,32.19,89.12,6.98
9/17/2022,7.0,24.8,33.43,84.38,5.09
9/18/2022,10.0,24.9,32.23,87.75,8.41
9/19/2022,2.0,24.96,32.59,89.38,16.31
9/20/2022,2.0,24.08,31.55,87.44,1.3
9/21/2022,3.0,24.53,31.38,87.44,3.08
9/22/2022,2.0,25.12,31.61,90.38,7.18
9/23/2022,1.0,24.74,32.1,87.0,7.21
9/24/2022,3.0,24.72,32.18,81.06,11.95
9/25/2022,7.0,25.05,33.26,82.0,10.4
9/26/2022,6.0,24.09,27.12,94.81,4.72
9/27/2022,14.0,23.56,33.19,82.31,16.79
9/28/2022,7.0,25.11,31.6,85.31,4.91
9/29/2022,4.0,24.69,34.5,83.06,1.3
9/30/2022,4.0,24.33,33.65,83.81,4.05
10/1/2022,8.0,25.43,33.78,88.06,24.37
10/2/2022,4.0,25.2,30.12,91.88,39.29
10/3/2022,5.0,25.17,30.67,91.88,28.98
10/4/2022,2.0,24.37,33.59,83.12,8.11
10/5/2022,4.0,24.41,33.8,81.94,12.47
10/6/2022,1.0,24.69,33.55,82.44,8.55
10/7/2022,10.0,23.86,32.43,81.44,0.66
10/8/2022,11.0,23.8,32.91,78.0,2.7
10/9/2022,7.0,24.99,33.08,83.94,13.22
10/10/2022,9.0,24.56,31.51,89.0,18.23
10/11/2022,8.0,24.08,31.2,88.88,14.98
10/12/2022,9.0,24.19,30.08,88.75,8.24
10/13/2022,4.0,23.99,38.46,77.19,7.21
10/14/2022,8.0,22.4,31.08,86.44,5.2
10/15/2022,7.0,22.35,31.9,87.69,2.55
10/16/2022,3.0,22.85,35.12,81.75,1.17
10/17/2022,14.0,24.37,32.46,84.56,0.39
10/18/2022,10.0,24.15,31.9,79.88,4.47
10/19/2022,2.0,22.98,31.07,85.25,5.17
10/20/2022,1.0,22.85,33.04,81.94,0.66
10/21/2022,1.0,23.06,33.51,83.0,0.09
10/22/2022,8.0,22.83,34.74,78.19,0.09
10/23/2022,8.0,23.57,29.75,90.06,27.23
10/24/2022,6.0,22.7,25.99,97.25,58.73
10/25/2022,10.0,21.44,28.09,88.38,23.02
10/26/2022,7.0,19.65,28.47,86.69,0.55
10/27/2022,10.0,18.33,28.87,86.25,0.0
10/28/2022,3.0,18.19,30.34,74.12,0.0
10/29/2022,9.0,18.29,31.15,81.25,0.03
10/30/2022,11.0,22.11,32.51,81.5,2.38
10/31/2022,10.0,22.3,32.69,85.56,1.14
11/1/2022,8.0,22.33,33.14,82.19,0.0
11/2/2022,5.0,21.58,31.49,81.44,0.0
11/3/2022,8.0,21.44,29.9,84.38,0.0
11/4/2022,14.0,21.16,30.58,84.5,0.0
11/5/2022,4.0,21.1,31.83,78.44,0.69
11/6/2022,4.0,21.7,30.55,75.25,1.37
11/7/2022,8.0,20.42,29.66,73.94,0.44
11/8/2022,18.0,18.15,30.11,71.25,0.0
11/9/2022,10.0,19.47,29.87,68.44,0.0
11/10/2022,10.0,17.33,28.69,68.88,0.0
11/11/2022,13.0,17.14,29.18,79.94,0.0
11/12/2022,8.0,17.37,27.46,84.25,0.0
11/13/2022,4.0,15.63,26.73,87.5,0.08
11/14/2022,11.0,15.9,28.97,82.69,0.78
11/15/2022,7.0,16.61,28.78,77.44,0.0
11/16/2022,14.0,15.85,26.76,77.12,0.0
