Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
7/21/2022,34.0,26.71,31.8,86.81,2.96
7/22/2022,37.0,26.85,32.16,88.12,2.97
7/23/2022,53.0,26.19,30.3,90.69,13.05
7/24/2022,30.0,26.19,29.46,90.06,5.22
7/25/2022,43.0,25.53,29.15,86.12,16.4
7/26/2022,25.0,25.15,31.13,80.56,7.33
7/27/2022,50.0,25.48,32.11,83.38,2.02
7/28/2022,36.0,26.37,30.8,87.56,4.94
7/29/2022,38.0,26.06,31.91,78.81,8.65
7/30/2022,48.0,26.43,32.71,86.25,3.14
7/31/2022,48.0,26.39,31.37,86.94,3.52
8/1/2022,35.0,26.69,31.78,88.12,10.23
8/2/2022,37.0,26.78,32.76,85.44,7.25
8/3/2022,40.0,26.3,30.65,88.06,11.74
8/4/2022,21.0,26.02,32.16,85.69,14.72
8/5/2022,23.0,26.47,32.43,86.62,6.39
8/6/2022,32.0,26.33,31.63,88.62,25.17
8/7/2022,36.5,25.99,32.92,84.81,7.17
8/8/2022,38.75,26.14,30.4,90.25,9.92
8/9/2022,41.0,25.57,31.46,88.62,6.14
8/10/2022,30.0,25.98,29.74,92.12,4.97
8/11/2022,25.0,25.87,30.58,90.19,4.85
8/12/2022,45.0,25.58,32.68,84.38,2.36
8/13/2022,46.0,26.01,30.08,91.94,11.0
8/14/2022,21.0,25.51,29.63,91.69,19.98
8/15/2022,39.0,25.89,31.76,89.5,14.86
8/16/2022,50.0,25.64,32.3,85.44,4.41
8/17/2022,45.0,26.25,32.73,83.44,4.1
8/18/2022,41.0,27.15,33.03,83.81,4.98
8/19/2022,42.0,25.45,31.76,86.88,22.3
8/20/2022,49.0,25.98,31.36,87.56,8.26
8/21/2022,39.0,25.87,31.62,87.56,4.95
8/22/2022,31.0,26.09,32.4,85.12,2.45
8/23/2022,40.0,25.89,31.23,89.06,34.31
8/24/2022,30.0,25.35,31.27,87.75,5.57
8/25/2022,28.0,24.89,32.3,83.44,3.87
8/26/2022,19.0,26.15,32.07,86.88,0.54
8/27/2022,34.0,25.8,30.45,89.81,1.48
8/28/2022,33.0,25.76,30.79,87.94,6.0
8/29/2022,47.0,25.46,32.35,85.06,1.51
8/30/2022,40.0,25.84,32.42,82.94,0.86
8/31/2022,50.0,25.95,32.21,85.75,0.49
9/1/2022,20.0,26.61,30.19,84.12,2.75
9/2/2022,32.0,26.28,31.19,86.56,10.25
9/3/2022,29.0,26.08,32.18,87.25,12.47
9/4/2022,33.0,26.96,32.21,88.31,19.14
9/5/2022,51.0,27.0,31.19,89.81,13.69
9/6/2022,20.0,26.52,31.7,85.38,11.78
9/7/2022,43.0,25.69,30.68,87.19,10.74
9/8/2022,41.0,26.38,33.01,82.81,8.54
9/9/2022,32.0,26.96,30.72,88.0,11.22
9/10/2022,39.0,26.22,29.05,92.25,10.91
9/11/2022,38.0,26.23,29.12,91.62,26.02
9/12/2022,49.0,26.37,28.44,94.5,24.5
9/13/2022,29.0,25.92,29.17,93.94,33.07
9/14/2022,21.0,25.4,30.14,89.44,35.48
9/15/2022,0.0,25.48,30.88,89.56,24.47
9/16/2022,46.0,25.88,30.75,89.19,10.61
9/17/2022,58.0,25.55,32.16,85.75,1.21
9/18/2022,34.0,25.9,31.8,87.81,1.48
9/19/2022,51.0,25.93,29.76,92.06,8.46
9/20/2022,32.0,25.78,30.89,89.62,1.41
9/21/2022,35.0,25.76,30.94,89.81,4.64
9/22/2022,22.0,25.73,29.71,91.31,5.35
9/23/2022,23.0,25.23,30.76,88.25,2.75
9/24/2022,41.0,25.36,30.1,89.06,2.38
9/25/2022,42.0,24.8,31.02,82.94,4.05
9/26/2022,40.0,25.5,29.4,87.44,3.14
9/27/2022,51.0,24.72,30.87,88.06,18.75
9/28/2022,39.0,25.58,29.63,85.44,5.82
9/29/2022,42.0,24.7,31.94,80.06,0.37
9/30/2022,40.0,25.0,32.87,81.06,0.81
10/1/2022,33.0,25.96,31.76,84.25,11.06
10/2/2022,32.0,26.38,29.18,91.62,41.76
10/3/2022,50.0,25.66,28.35,93.06,25.98
10/4/2022,25.0,25.81,30.69,88.94,20.57
10/5/2022,45.0,25.08,30.77,89.25,14.24
10/6/2022,35.0,24.93,30.76,88.31,5.38
10/7/2022,17.0,24.69,31.82,79.19,2.29
10/8/2022,29.0,24.73,31.18,83.12,1.84
10/9/2022,39.0,25.3,30.24,88.75,12.16
10/10/2022,52.0,25.07,30.18,89.12,10.41
10/11/2022,28.0,25.19,30.0,91.62,6.56
10/12/2022,50.0,25.21,28.87,91.12,5.05
10/13/2022,41.0,24.32,29.9,87.38,5.14
10/14/2022,27.0,24.8,30.44,83.62,10.02
10/15/2022,40.0,23.95,30.39,86.38,2.91
10/16/2022,50.0,21.94,31.19,85.62,2.61
10/17/2022,39.0,22.96,31.6,83.12,1.1
10/18/2022,58.0,23.74,31.16,80.06,0.93
10/19/2022,48.0,23.14,30.03,83.25,0.55
10/20/2022,30.0,22.9,30.94,84.44,0.11
10/21/2022,25.0,22.65,31.05,84.88,0.0
10/22/2022,45.0,22.79,31.37,82.88,0.0
10/23/2022,36.0,23.04,27.5,90.31,25.1
10/24/2022,22.0,21.64,24.23,95.0,149.91
10/25/2022,53.0,21.17,27.46,85.75,26.26
10/26/2022,44.0,20.43,28.55,81.81,2.64
10/27/2022,55.0,20.69,28.76,79.31,0.0
10/28/2022,49.0,18.76,28.32,76.06,0.0
10/29/2022,51.0,19.14,28.88,75.38,0.07
10/30/2022,51.0,20.35,29.94,79.56,7.54
10/31/2022,114.0,21.4,30.44,84.0,0.5
11/1/2022,46.0,21.98,30.15,85.0,0.0
11/2/2022,47.0,22.38,29.8,85.44,0.0
11/3/2022,35.0,21.62,27.92,83.5,0.0
11/4/2022,28.0,19.13,28.26,76.38,0.0
11/5/2022,44.0,21.11,29.87,72.19,0.08
11/6/2022,46.0,21.45,29.47,73.44,7.49
11/7/2022,40.0,19.71,28.76,73.31,0.06
11/8/2022,31.0,19.62,28.5,69.5,0.0
11/9/2022,33.0,19.26,28.01,74.44,0.0
11/10/2022,32.0,18.45,27.94,74.5,0.0
11/11/2022,27.0,18.07,28.19,75.56,0.0
11/12/2022,75.0,19.02,28.08,75.94,0.0
11/13/2022,67.0,17.72,26.38,81.69,0.01
11/14/2022,46.0,16.12,26.77,76.38,0.14
11/15/2022,37.0,17.55,26.97,73.94,0.0
11/16/2022,71.0,17.8,26.94,78.38,0.0
11/17/2022,40.0,17.02,27.23,80.62,0.0
11/18/2022,40.0,16.05,26.07,80.19,0.0
11/19/2022,72.0,15.07,26.78,79.88,0.0
11/20/2022,54.0,16.21,27.9,78.19,0.62
11/21/2022,38.0,16.91,26.84,82.06,0.11
11/22/2022,45.0,15.01,26.12,83.56,0.0
11/23/2022,16.0,15.58,25.85,86.19,0.0
11/24/2022,56.0,14.79,26.59,84.62,0.0
11/25/2022,39.0,15.55,27.36,80.62,2.94
11/26/2022,25.0,16.57,27.23,77.44,0.0
11/27/2022,36.0,16.96,26.53,73.56,0.01
11/28/2022,42.0,15.8,27.11,80.06,0.01
11/29/2022,21.0,18.02,27.91,78.56,0.01
11/30/2022,51.0,18.46,27.83,79.75,0.0
12/1/2022,19.0,15.97,27.05,82.5,0.0
12/2/2022,26.0,15.33,26.23,85.56,0.0
12/3/2022,33.0,14.58,25.61,83.06,0.0
12/4/2022,43.0,14.47,26.02,80.06,0.0
12/5/2022,43.0,14.66,26.26,83.0,0.0
12/6/2022,13.0,15.11,25.96,83.5,0.0
12/7/2022,33.0,14.81,25.56,84.06,0.0
12/8/2022,20.0,14.65,25.66,81.25,0.0
12/9/2022,16.0,15.26,25.05,76.62,0.0
12/10/2022,28.0,16.51,25.7,73.06,0.0
12/11/2022,32.0,15.3,25.77,76.38,0.0
12/12/2022,42.0,14.06,25.15,78.75,0.0
12/13/2022,26.0,13.77,24.55,77.88,0.0
12/14/2022,26.0,14.72,24.77,76.94,0.0
12/15/2022,16.0,13.76,24.54,76.81,0.0
12/16/2022,11.0,12.27,23.96,79.38,0.0
12/17/2022,20.0,12.4,24.43,77.38,0.0
12/18/2022,19.0,14.17,24.47,72.75,0.0
12/19/2022,27.0,14.82,24.89,72.0,0.0
12/20/2022,4.0,15.15,25.23,74.5,0.0
12/21/2022,13.0,14.37,24.73,80.25,0.0
12/22/2022,13.0,13.85,24.75,76.62,0.0
12/23/2022,49.0,12.98,25.05,71.5,0.0
12/24/2022,16.0,12.24,24.68,64.81,0.0
12/25/2022,33.0,14.97,24.95,67.69,0.0
12/26/2022,18.0,15.51,26.26,74.62,0.06
12/27/2022,44.0,16.24,25.38,81.0,4.3
12/28/2022,22.0,13.94,24.18,83.38,2.17
12/29/2022,12.0,10.49,22.98,71.75,0.0
12/30/2022,16.0,11.58,22.13,71.5,0.0
12/31/2022,15.0,11.12,22.55,71.06,0.0
1/1/2023,5.0,11.52,22.65,76.5,0.0
1/2/2023,30.0,11.22,23.16,75.06,0.0
1/3/2023,5.0,11.41,23.3,79.31,0.0
1/4/2023,21.0,10.77,22.41,83.0,0.0
1/5/2023,10.0,10.21,23.15,81.38,0.0
1/6/2023,9.0,10.2,23.49,80.88,0.03
1/7/2023,22.0,10.3,23.66,82.31,0.0
1/8/2023,6.0,11.16,25.03,79.44,0.0
1/9/2023,10.0,11.73,26.05,76.31,0.0
1/10/2023,20.0,12.01,26.29,73.38,0.0
1/11/2023,21.0,11.08,24.27,69.81,0.0
1/12/2023,13.0,10.29,22.65,67.06,0.0
1/13/2023,12.0,10.32,24.28,64.5,0.0
1/14/2023,36.0,12.06,25.04,74.88,0.0
1/15/2023,15.0,14.73,24.58,78.44,0.0
1/16/2023,37.0,12.71,23.9,71.88,0.0
1/17/2023,21.0,11.41,23.41,73.75,0.0
1/18/2023,33.0,10.51,22.27,68.69,0.0
1/19/2023,12.0,9.53,22.23,65.81,0.0
1/20/2023,43.0,9.8,22.65,66.38,0.0
1/21/2023,31.0,10.19,23.7,68.19,6.96
1/22/2023,16.0,11.37,24.55,64.38,0.0
