Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
6/28/2022,20.0,25.96,31.53,87.38,4.78
6/29/2022,29.0,25.83,31.22,88.56,6.15
6/30/2022,24.0,25.99,30.79,89.31,10.85
7/1/2022,12.0,26.17,31.7,89.44,10.97
7/2/2022,19.0,26.03,32.21,85.94,11.7
7/3/2022,16.0,25.99,31.2,89.06,7.06
7/4/2022,20.0,26.0,32.8,87.12,5.3
7/5/2022,19.0,25.94,32.45,85.94,1.97
7/6/2022,7.0,26.26,30.37,91.06,8.99
7/7/2022,0.0,25.62,32.87,85.75,3.92
7/8/2022,7.0,25.51,31.81,87.31,3.63
7/9/2022,4.0,25.09,32.13,84.81,3.02
7/10/2022,4.0,25.65,32.37,85.56,6.37
7/11/2022,16.0,25.83,32.17,87.0,4.67
7/12/2022,30.0,26.19,32.83,85.38,5.2
7/13/2022,20.0,26.32,33.07,84.88,3.84
7/14/2022,17.0,26.27,30.85,88.44,1.08
7/15/2022,15.0,25.98,32.51,84.88,0.9
7/16/2022,11.0,26.14,33.1,84.69,2.1
7/17/2022,15.0,26.32,34.2,84.44,4.19
7/18/2022,16.0,25.53,33.5,81.69,1.49
7/19/2022,17.0,26.4,32.01,85.88,4.66
7/20/2022,9.0,26.2,32.56,85.62,8.39
7/21/2022,23.0,26.33,33.12,84.69,5.6
7/22/2022,14.0,26.62,32.17,87.88,4.98
7/23/2022,12.0,25.72,31.37,86.75,4.28
7/24/2022,14.0,25.91,29.9,89.62,11.01
7/25/2022,14.0,25.31,29.5,88.31,12.12
7/26/2022,14.0,24.88,32.73,80.62,3.94
7/27/2022,4.0,25.37,32.17,83.69,1.89
7/28/2022,15.0,25.83,29.98,88.12,6.61
7/29/2022,23.0,25.3,33.68,81.19,2.89
7/30/2022,16.0,26.07,32.86,86.25,4.15
7/31/2022,13.0,26.51,31.29,89.62,1.61
8/1/2022,3.0,26.38,31.8,89.25,7.49
8/2/2022,13.0,26.15,33.58,84.56,4.64
8/3/2022,7.0,26.29,31.54,87.94,21.68
8/4/2022,6.0,25.58,31.95,86.5,7.91
8/5/2022,15.0,26.45,33.07,85.69,2.77
8/6/2022,15.0,26.15,31.9,88.56,7.14
8/7/2022,15.0,26.05,33.15,85.44,7.12
8/8/2022,15.0,25.65,30.87,89.12,17.79
8/9/2022,15.0,25.83,31.37,89.62,9.12
8/10/2022,23.0,25.78,29.51,92.94,17.49
8/11/2022,22.0,25.59,29.95,91.38,18.18
8/12/2022,22.0,24.73,33.57,83.38,4.31
8/13/2022,23.0,25.78,31.42,88.19,4.79
8/14/2022,8.0,25.89,30.05,91.5,26.37
8/15/2022,14.0,25.98,30.38,89.69,9.94
8/16/2022,38.0,25.27,32.41,85.88,4.27
8/17/2022,28.0,25.86,33.05,84.44,0.99
8/18/2022,24.0,26.67,33.2,85.12,3.93
8/19/2022,16.0,25.92,31.85,87.56,22.71
8/20/2022,31.0,25.44,31.53,87.81,11.59
8/21/2022,39.0,25.11,32.23,87.88,3.57
8/22/2022,33.0,25.53,32.74,86.38,2.82
8/23/2022,30.0,25.78,31.42,89.62,31.07
8/24/2022,19.0,24.71,31.74,87.81,14.94
8/25/2022,14.0,24.6,32.33,87.12,2.24
8/26/2022,11.0,24.88,31.87,87.06,0.09
8/27/2022,18.0,25.36,30.99,89.88,1.14
8/28/2022,7.0,25.33,31.77,87.69,2.33
8/29/2022,19.0,25.38,32.35,86.25,1.48
8/30/2022,24.0,25.48,33.31,82.75,0.56
8/31/2022,17.0,25.39,32.65,86.44,0.34
9/1/2022,8.0,25.98,30.84,89.5,0.58
9/2/2022,13.0,26.23,31.39,88.12,3.38
9/3/2022,11.0,25.74,32.52,87.62,4.09
9/4/2022,12.0,26.58,31.73,89.94,7.83
9/5/2022,13.0,26.58,30.8,91.31,12.28
9/6/2022,15.0,26.19,31.44,86.62,21.32
9/7/2022,26.0,25.12,31.24,88.62,8.19
9/8/2022,9.0,25.76,32.66,86.06,1.9
9/9/2022,13.0,26.3,30.73,86.06,4.75
9/10/2022,19.0,26.08,29.23,93.81,8.07
9/11/2022,24.0,25.89,28.76,94.38,30.23
9/12/2022,24.0,26.12,28.65,95.25,54.21
9/13/2022,18.0,25.89,29.03,94.75,38.74
9/14/2022,12.0,25.59,28.94,94.31,49.23
9/15/2022,0.0,25.07,30.35,91.94,29.93
9/16/2022,28.0,25.41,29.84,92.31,11.37
9/17/2022,42.0,25.08,31.29,90.19,5.65
9/18/2022,39.0,25.53,31.69,87.5,3.18
9/19/2022,19.0,25.27,31.01,91.69,1.77
9/20/2022,25.0,25.67,30.75,91.25,4.92
9/21/2022,30.0,25.61,31.43,90.25,5.72
9/22/2022,19.0,25.02,31.09,90.69,5.81
9/23/2022,26.0,24.75,30.98,89.69,1.62
9/24/2022,26.0,24.82,30.63,89.56,2.73
9/25/2022,29.0,24.98,31.44,84.88,1.38
9/26/2022,32.0,25.16,29.99,88.69,3.34
9/27/2022,12.0,24.9,30.37,89.5,15.64
9/28/2022,16.0,25.23,30.12,89.44,3.69
9/29/2022,36.0,25.51,32.07,82.12,1.1
9/30/2022,29.0,24.89,32.93,81.75,0.13
10/1/2022,8.0,25.62,32.22,85.56,3.11
10/2/2022,10.0,25.39,29.03,94.75,9.72
10/3/2022,10.0,24.52,29.67,91.75,12.24
10/4/2022,10.0,25.52,30.42,92.19,20.07
10/5/2022,9.0,24.8,30.59,90.94,7.78
10/6/2022,10.0,24.12,30.92,89.31,3.63
10/7/2022,12.0,24.55,30.6,86.19,2.52
10/8/2022,22.0,24.67,31.19,84.31,1.02
10/9/2022,27.0,24.68,29.67,91.31,5.9
10/10/2022,25.0,24.37,29.88,91.0,9.27
10/11/2022,38.0,24.53,29.47,92.88,2.05
10/12/2022,18.0,24.66,29.14,92.25,9.24
10/13/2022,9.0,24.16,29.78,89.5,8.15
10/14/2022,17.0,23.84,30.98,83.94,4.16
10/15/2022,7.0,23.56,30.72,86.5,3.7
10/16/2022,24.0,21.32,30.5,84.31,1.03
10/17/2022,22.0,21.58,30.93,83.19,5.89
10/18/2022,28.0,22.37,30.71,80.25,1.1
10/19/2022,26.0,22.76,30.12,85.62,3.7
10/20/2022,19.0,22.08,30.41,86.19,1.86
10/21/2022,21.0,20.92,30.76,85.31,0.0
10/22/2022,13.0,21.99,31.94,82.19,0.0
10/23/2022,9.0,21.66,27.86,91.44,20.6
10/24/2022,8.0,21.97,24.58,95.44,143.91
10/25/2022,19.0,20.44,28.56,85.38,17.48
10/26/2022,12.0,20.39,29.19,82.19,8.67
10/27/2022,15.0,21.0,29.97,77.31,0.0
10/28/2022,16.0,19.79,28.77,78.0,0.0
10/29/2022,19.0,18.33,28.87,75.75,0.39
10/30/2022,37.0,19.43,29.52,74.31,0.32
10/31/2022,24.0,19.26,29.55,76.31,1.3
11/1/2022,25.0,20.09,30.4,85.12,0.0
11/2/2022,27.0,21.14,29.87,84.25,0.0
11/3/2022,15.0,19.75,27.3,79.56,0.0
11/4/2022,35.0,18.31,28.38,75.62,0.0
11/5/2022,23.0,19.65,29.43,72.06,0.0
11/6/2022,43.0,19.55,29.07,76.19,0.55
11/7/2022,23.0,17.9,28.74,76.31,0.19
11/8/2022,25.0,18.57,28.8,73.44,0.0
11/9/2022,32.0,19.16,28.09,75.62,0.0
11/10/2022,33.0,17.98,27.97,76.06,0.0
11/11/2022,25.0,18.01,28.45,77.88,0.0
11/12/2022,26.0,17.51,28.48,78.44,0.0
11/13/2022,24.0,16.31,26.82,77.19,0.14
11/14/2022,24.0,14.61,26.84,73.69,0.08
11/15/2022,14.0,15.11,27.4,76.62,0.0
11/16/2022,10.0,15.53,27.09,79.81,0.0
11/17/2022,5.0,15.19,27.57,76.12,0.0
11/18/2022,11.0,15.42,26.33,82.62,0.0
11/19/2022,22.0,13.85,27.13,81.44,0.0
11/20/2022,19.0,15.47,27.87,80.56,0.62
11/21/2022,12.0,15.63,26.83,78.81,0.05
11/22/2022,42.0,13.97,26.52,76.88,0.0
11/23/2022,33.0,13.8,25.74,81.12,0.0
11/24/2022,10.0,12.8,26.3,77.12,0.0
11/25/2022,4.0,12.56,26.99,80.88,20.05
11/26/2022,14.0,14.24,26.73,80.12,0.0
11/27/2022,14.0,15.68,26.62,70.5,0.11
11/28/2022,23.0,15.44,26.68,76.44,0.0
11/29/2022,27.0,16.58,27.69,76.75,0.0
11/30/2022,15.0,16.69,27.19,75.38,0.0
12/1/2022,8.0,15.1,27.01,79.12,0.0
12/2/2022,19.0,13.23,26.15,78.12,0.0
12/3/2022,9.0,11.88,25.15,73.5,0.0
12/4/2022,14.0,11.51,25.46,72.5,0.0
12/5/2022,13.0,12.53,26.12,77.44,0.0
12/6/2022,22.0,12.33,25.49,80.62,0.0
12/7/2022,13.0,12.08,25.01,79.12,0.0
12/8/2022,17.0,11.97,25.14,81.56,0.0
